PMV,PPD,SET,To inferior,To superior,People HeatGain,TO
1.05,28.27163923,32.68,17.13,22.11,1379.2,24.73241005
1.08,29.6064854,32.85,17.13,22.11,1034.4,24.90924775
1.1,30.51390792,32.85,17.2,22.15,689.6,25.04649475
1.1,30.51390792,32.69,17.22,22.23,1034.4,25.17012674
1.11,30.97274678,32.49,17.3,22.33,1379.2,25.3387807
1.1,30.51390792,32.2,17.4,22.41,1379.2,25.47865492
1.1,30.51390792,31.99,17.42,22.52,1379.2,25.617546
1.1,30.51390792,31.81,17.54,22.65,1379.2,25.74761083
1.1,30.51390792,31.68,17.55,22.72,1379.2,25.84628858
0.76,17.16658739,30.29,17.35,22.38,1379.2,23.57206172
0.97,24.87368374,32.22,17.13,22.11,1379.2,24.23973126
1.01,26.54259979,32.46,17.13,22.11,1379.2,24.48808589
1.05,28.27163923,32.69,17.13,22.11,1379.2,24.73419861
1.09,30.05847259,32.87,17.13,22.11,1034.4,24.92890605
1.1,30.51390792,32.85,17.19,22.14,689.6,25.07070519
1.1,30.51390792,32.5,17.29,22.3,1034.4,25.25727948
1.09,30.05847259,32.2,17.38,22.43,1379.2,25.39816242
1.09,30.05847259,32.03,17.42,22.5,1379.2,25.50916168
1.09,30.05847259,31.87,17.47,22.6,1379.2,25.64797337
1.1,30.51390792,31.8,17.51,22.62,1379.2,25.74153105
1.09,30.05847259,31.73,17.55,22.64,1379.2,25.75177442
0.76,17.16658739,30.42,17.29,22.32,1379.2,23.52650858
0.97,24.87368374,32.22,17.13,22.11,1379.2,24.23539688
1.01,26.54259979,32.47,17.13,22.11,1379.2,24.50447781
1.05,28.27163923,32.66,17.13,22.11,1379.2,24.7047112
1.08,29.6064854,32.82,17.13,22.11,1034.4,24.87575647
1.1,30.51390792,32.82,17.2,22.17,689.6,25.07452344
1.09,30.05847259,32.39,17.31,22.34,1034.4,25.2563251
1.09,30.05847259,32.15,17.36,22.42,1379.2,25.412281
1.09,30.05847259,31.96,17.45,22.54,1379.2,25.57563915
1.1,30.51390792,31.84,17.53,22.63,1379.2,25.73569397
1.11,30.97274678,31.74,17.57,22.7,1379.2,25.92633184
1.12,31.4349433,31.68,17.62,22.78,1379.2,26.0347888
0.99,25.70049293,31.94,17.26,22.25,1379.2,24.62215081
1.07,29.15798964,32.78,17.13,22.11,1379.2,24.83778949
1.1,30.51390792,32.94,17.15,22.14,1379.2,25.04033964
1.12,31.4349433,32.79,17.23,22.22,1379.2,25.24121786
1.11,30.97274678,32.34,17.35,22.38,1034.4,25.45217401
1.08,29.6064854,31.78,17.5,22.59,689.6,25.61743745
1.09,30.05847259,31.7,17.54,22.68,1034.4,25.76820342
1.13,31.90045026,31.9,17.54,22.68,1379.2,25.95761347
1.18,34.27589762,32.15,17.53,22.7,1379.2,26.25286987
1.23,36.72626647,32.37,17.57,22.69,1379.2,26.53116852
